id,level,surface,reading_kana,meaning_ko,review_decision,review_surface,review_reading_kana,review_meaning_ko,merge_winner_id,review_reason,review_status,attention,surface_class,jmdict_exact_kind,flags,same_jmdict_entry_ids,same_reading_meaning_ids,prior_audit_decision,source,example_jp
w_70d376775b49e19c,N1,裏づけ,うらづけ,"뒷받침, 증거",merge,裏付け,うらづけ,"뒷받침, 증거",w_cf782b6f2e06a5cc,오쿠리가나만 다른 동일 표제어,manually-adjudicated,high,kanji-hiragana,kanji-form,mixed-has-more-kanji-variant;same-jmdict-entry-duplicate,w_cf782b6f2e06a5cc,,,pdf:pass_n1,このデータは仮説の裏づけになる。
w_21c103cb7b4545dc,N1,気がかり,きがかり,"걱정, 불안, 근심",merge,気掛かり,きがかり,"걱정, 불안, 근심",w_e680ce9adf7c863a,동일 PDF 의미의 표기 중복,manually-adjudicated,high,kanji-hiragana,kanji-form,mixed-has-more-kanji-variant;same-jmdict-entry-duplicate,w_e680ce9adf7c863a,,,pdf:pass_n1,また風が吹きそうなので気がかりだ
w_7d793dd7d0ec2242,N1,阻む,そばむ,"저지하다, 가로막다",merge,阻む,はばむ,"저지하다, 가로막다",w_a2fa581b2cf9bf8b,잘못된 읽기 そばむ 항목을 정상 읽기 はばむ 항목과 통합,manually-adjudicated,high,kanji-hiragana,none,non-jmdict-surface;surface-reading-mismatch;single-jmdict-kanji-candidate,,,,pdf:pass_n1,敵の進撃を阻む
w_109d152ccf1f17f4,N1,食い違う,ちがう,(의견)이엇갈리다,merge,食い違う,くいちがう,(의견)이엇갈리다,w_fac3d8bca8a39cc2,앞부분이 누락된 읽기 항목을 정상 읽기 くいちがう 항목과 통합,manually-adjudicated,high,kanji-hiragana,none,non-jmdict-surface;surface-reading-mismatch;near-jmdict-spelling;single-jmdict-kanji-candidate,,,,pdf:mkt_n1,意見が食い違う.
w_487a91bcf4c2ebc1,N1,問い合わせる,といわせる,문의하다,merge,問い合わせる,といあわせる,문의하다,w_be45bc6bb7ee0f57,누락된 읽기 항목을 정상 읽기 といあわせる 항목과 통합,manually-adjudicated,high,kanji-hiragana,none,non-jmdict-surface;surface-reading-mismatch,,,,pdf:pass_n1,銀行に預金の残高を問い合わせる.
w_574769853d30b36b,N1,真っ先,まっっさき,제일 먼저,merge,真っ先,まっさき,제일 먼저,w_0356a9732a7cd592,중복 촉음 읽기 오타 항목을 정상 표제어와 통합,manually-adjudicated,high,kanji-hiragana,none,non-jmdict-surface;surface-reading-mismatch,,,,pdf:pass_n1,真っ先に食べる
w_6c45184e2a4fa7a0,N1,惑わす,まどわすまぬかれる,"혼란시키다,현혹시키다",merge,惑わす,まどわす,"혼란시키다,현혹시키다",w_fcba82e2406eee81,다른 단어 읽기가 붙은 항목을 정상 표제어와 통합,manually-adjudicated,high,kanji-hiragana,none,non-jmdict-surface;surface-reading-mismatch,,,,pdf:mkt_n1,策略[詭計]を使って敵を惑わす.
w_f048e6ae66b0fa0e,N2,落着く,おちつく,"안정되다, 차분해지다",merge,落ち着く,おちつく,"안정되다, 차분해지다",w_85fc5f056fd49807,오쿠리가나만 다른 동일 표제어,manually-adjudicated,high,kanji-hiragana,kanji-form,same-jmdict-entry-duplicate,w_85fc5f056fd49807,,,kaggle:robinpourtaud/jlpt-words-by-level,どんな悪口を言われても落着き払っている
w_5a4260a855090d55,N2,係わる,かかわる,"관련되다, 관여하다",merge,関わる,かかわる,"관련되다, 관여하다",w_157443e88683e1c9,係る/係わる를 현대 일반 표기 하나로 통합,manually-adjudicated,high,kanji-hiragana,kanji-form,same-jmdict-entry-duplicate,w_157443e88683e1c9,,,kaggle:robinpourtaud/jlpt-words-by-level,命に係わることだ
w_1854d01ccebf9b55,N2,先程,さきほど,"조금 전, 아까",merge,先程,さきほど,"조금 전, 아까",w_dc9e68a1700899e0,한자·가나 표기만 다른 동일 표제어,manually-adjudicated,high,kanji,kanji-form,same-jmdict-entry-duplicate,w_dc9e68a1700899e0,,,kaggle:robinpourtaud/jlpt-words-by-level,先程お宅からお電話がありました
