id,primary_level,levels,surface,reading_kana,alt_readings,meaning_ko,meaning_ko_variants,part_of_speech,entry_type,include_in_app,source_ids,source_entry_ids,source_entry_count,sections,existing_word_id,existing_level,qa_status,qa_note
w_20734b71d5df79ef,N5,N5,あし,あし,,"발, 다리","발, 다리",,word,1,pass_n5,pass_n5_p008_o0125,1,문맥 규정,,,verified,
w_7bd42a74b3f21cd5,N5,N5,あした,あした,,내일,내일,,word,1,pass_n5,pass_n5_p008_o0126,1,문맥 규정,,,verified,
w_54750cb36373fd36,N5,N5,あそぶ,あそぶ,,놀다,놀다,,word,1,pass_n5,pass_n5_p008_o0127,1,문맥 규정,,,verified,
w_0d26f4ecd5bf00c4,N5,N5,あたたかい,あたたかい,,따뜻하다,따뜻하다,,word,1,pass_n5,pass_n5_p008_o0128,1,문맥 규정,,,verified,
w_31babae8ff2696b9,N5,N5,あたらしい,あたらしい,,새롭다,새롭다,,word,1,pass_n5,pass_n5_p008_o0129,1,문맥 규정,,,verified,
w_4c0800ab464a16af,N5,N5,あに,あに,,"오빠, 형","오빠, 형",,word,1,pass_n5,pass_n5_p008_o0130,1,문맥 규정,,,verified,
w_969c1949db151a59,N5,N5,あぶない,あぶない,,위험하다,위험하다,,word,1,pass_n5,pass_n5_p008_o0132,1,문맥 규정,,,verified,
w_581fe312603d2f10,N5,N5,あまい,あまい,,달다,달다,,word,1,pass_n5,pass_n5_p008_o0133,1,문맥 규정,,,verified,
w_76d36dbae91cd174,N5,N5,あらう,あらう,,씻다,씻다,,word,1,pass_n5,pass_n5_p008_o0134,1,문맥 규정,,,verified,
w_deddb7435f3d9350,N5,N5,あるく,あるく,,걷다,걷다,,word,1,pass_n5,pass_n5_p008_o0135,1,문맥 규정,,,verified,
w_bc6fa5bc224dbef9,N5,N5;N4,いくら,いくら,,얼마(값),아무리;얼마(값),noun,word,1,pass_n4;pass_n5,pass_n4_p010_o0190;pass_n4_p024_o0377;pass_n5_p008_o0136,3,문맥 규정;용법,w_bc6fa5bc224dbef9,N5,verified,
w_3884f3361dd5cc56,N5,N5,いそがしい,いそがしい,,바쁘다,바쁘다,,word,1,pass_n5,pass_n5_p008_o0137,1,문맥 규정,,,verified,
w_a48055accfd30bcb,N5,N5,いたい,いたい,,아프다,아프다,,word,1,pass_n5,pass_n5_p008_o0138,1,문맥 규정,,,verified,
w_095ed617a1f2ddc6,N5,N5,いただきます,いただきます,,잘 먹겠습니다.,잘 먹겠습니다.,expression,word,1,pass_n5,pass_n5_p014_o0307,1,유의어,w_095ed617a1f2ddc6,N3,verified,
w_6313f9284b018464,N5,N5,いちだい,いちだい,,한 대(자전거),한 대(자전거),,word,1,pass_n5,pass_n5_p008_o0139;pass_n5_p008_o0140,2,문맥 규정,,,verified,
w_7391edd8a2c4c832,N5,N5,いちど,いちど,,한 번,한 번,,word,1,pass_n5,pass_n5_p008_o0141,1,문맥 규정,,,verified,
w_dd5441408bb2d6e5,N5,N5,いつつ,いつつ,,"다섯, 다섯 개","다섯, 다섯 개",,word,1,pass_n5,pass_n5_p008_o0142,1,문맥 규정,,,verified,
w_72ca2a9c4ae1017a,N5,N5,いぬ,いぬ,,개,개,,word,1,pass_n5,pass_n5_p008_o0143,1,문맥 규정,,,verified,
w_8d91f549cf7aaf0c,N5,N5,いれる,いれる,,넣다,넣다,,word,1,pass_n5,pass_n5_p008_o0144,1,문맥 규정,,,verified,
