id,level,surface,reading_kana,furigana,meaning_ko,part_of_speech,card_type,example_jp,example_ko,example_jp_id,example_jp_author,example_ko_id,example_ko_author,example_license,alt_forms,disambig,source,qa_status,deprecated,tags,data_version,frequency,reading_chapter,deprecated_reason,superseded_by
w_3e09ba747176f551,N5,人,ひと,ひと,사람,noun,A,,,,,,,,,,pdf:pass_n5,verified,0,"[""ko-reviewed"",""manual-curated"",""freq-core"",""pdf-core"",""pdf-matched""]",2,6.56,1,,
w_55a89ec42223f73e,N5,いい,いい,いい,"좋음, 좋은",adjective,C,善い事をすればいい報いがある.,좋은 일을 하면 좋은 보답이 있다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,よい,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing"",""pdf-supplement""]",2,6.37,1,,
w_c8cb9889616e2de7,N5,中,なか,なか,"안, 속",noun,A,,,,,,,,,,pdf:pass_n5,verified,0,"[""ko-reviewed"",""manual-curated"",""freq-core"",""pdf-core"",""pdf-matched""]",2,6.16,1,,
w_1da8dde639dcee40,N5,でも,でも,でも,"하지만, 그렇지만",conjunction,C,,,,,,,,,,pdf:pass_n5,verified,0,"[""freq-core"",""pdf-core"",""pdf-new""]",2,6.15,1,,
w_12b597c82e6ac902,N5,私,わたし,わたし,"나, 저",pronoun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""ko-reviewed"",""manual-curated"",""freq-core"",""pdf-supplement""]",2,6.12,1,,
w_0bbed65bbab68eb4,N5,一,いち,いち,"하나, 1",numeral,A,さっそく一書[一本]を購った,곧 그 책 한 권을 샀다.,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing"",""pdf-supplement""]",2,6.08,1,,
w_37ce577d9573c9b7,N5,方,かた,かた,"분, 방향, 방법",noun,A,話し方と同様に聞き方も大切だ.,말하기와 마찬가지로 듣기도 중요하다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing"",""pdf-supplement""]",2,6.07,1,,
w_db9e3cee735c2e2a,N5,何人,なんにん,なんにん,몇 명,noun,A,,,,,,,,,,pdf:pass_n5,verified,0,"[""freq-core"",""pdf-core"",""pdf-new""]",2,6.01,1,,
w_9f96114d9d8442ca,N5,前,まえ,まえ,앞,noun,A,,,,,,,,,,pdf:pass_n5,verified,0,"[""ko-reviewed"",""manual-curated"",""freq-core"",""pdf-core"",""pdf-matched""]",2,5.97,1,,
w_78a37817bd6740bc,N5,時間,じかん,じかん,시간,noun,A,OT時間を変更する,시간 외 근무 시간을 변경하다,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,,,pdf:pass_n5,verified,0,"[""draft-ko-missing"",""freq-core"",""pdf-core"",""pdf-matched""]",2,5.95,1,,
w_901e9473e86b14cd,N5,また,また,また,또,noun,C,,,,,,,,,,pdf:pass_n5,verified,0,"[""freq-core"",""pdf-core"",""pdf-new""]",2,5.92,1,,
w_a1ee78bb6cc157b5,N5,目,め,め,눈,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""ko-reviewed"",""manual-curated"",""freq-core"",""pdf-supplement""]",2,5.91,1,,
w_07bc7f7c95991757,N5,家,いえ,いえ,집,noun,A,古い家を取り壊して新しい家を建てる.,낡은 집을 헐고서 새집을 짓다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing"",""pdf-supplement""]",2,5.82,1,,
w_d5f25dace331d783,N5,後,あと,あと,"뒤, 나중",noun,A,彼は一番後に来た.,그는 맨 나중에 왔다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,pdf:pass_n5,verified,0,"[""draft-ko-missing"",""freq-core"",""pdf-core"",""pdf-matched""]",2,5.79,1,,
w_8d6e887ea2a8b1d8,N5,好き,すき,すき,좋아함,noun,B,,,,,,,,"[""すき""]",,pdf:pass_n5,verified,0,"[""freq-core"",""pdf-core"",""pdf-new"",""orthography-normalized""]",2,5.77,1,,
w_f9afbe72e023b2b4,N5,上,うえ,うえ,위,noun,A,上には上がある,기는 놈 위에 나는 놈 있다,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,,,pdf:pass_n5,verified,0,"[""draft-ko-missing"",""freq-core"",""pdf-core"",""pdf-matched""]",2,5.75,1,,
w_af5024e6326a3ea3,N5,本,ほん,ほん,책,noun,A,,,,,,,,,,pdf:pass_n5,verified,0,"[""ko-reviewed"",""manual-curated"",""freq-core"",""pdf-core"",""pdf-matched""]",2,5.71,1,,
w_024f604ff23bfcfe,N5,言う,いう,いう,말하다,verb,B,"ふん,何を言うか","흥, 무슨 말을 하는 거냐",,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,pdf:pass_n4;pass_n5,verified,0,"[""draft-ko-missing"",""freq-core"",""pdf-core"",""pdf-matched""]",2,5.68,1,,
w_50ffd2ba2cc08cff,N5,二日,ふつか,ふつか,"2일, 초이틀",noun,A,,,,,,,,"[""ふつか""]",,pdf:pass_n5,verified,0,"[""freq-core"",""pdf-core"",""pdf-new"",""orthography-normalized""]",2,5.67,1,,
w_e96a3954d2c03ee7,N5,手,て,て,손,noun,A,,,,,,,,,,pdf:pass_n5,verified,0,"[""ko-reviewed"",""manual-curated"",""freq-core"",""pdf-core"",""pdf-matched""]",2,5.63,1,,
w_9532b412fe913961,N5,国,くに,くに,나라,noun,A,国[愛]に殉ずる,나라를[사랑을] 위하여 목숨을 버리다,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,,,pdf:pass_n5,verified,0,"[""draft-ko-missing"",""freq-core"",""pdf-core"",""pdf-matched""]",2,5.58,1,,
