id,level,surface,reading_kana,furigana,meaning_ko,part_of_speech,card_type,example_jp,example_ko,example_jp_id,example_jp_author,example_ko_id,example_ko_author,example_license,alt_forms,disambig,source,qa_status,deprecated,tags,data_version,frequency,reading_chapter,deprecated_reason,superseded_by
w_a9ecc3b353d6e247,N5,いる,いる,いる,있다,verb,B,教室には学生が三人いる。,교실에는 학생이 세 명 있다.,,AshitaKanji 편집 예문,,,self,,,kaggle:robinpourtaud/jlpt-words-by-level;orthography-backfill,verified,0,"[""draft-ko-missing"",""orthography-backfill"",""dict-recheck""]",2,6.660,1,,
w_3e09ba747176f551,N5,人,ひと,ひと,사람,noun,A,あの人は出来る人だ,저 사람은 능력이 있는 사람이다,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,,,pdf:pass_n5,verified,0,"[""ko-reviewed"",""manual-curated"",""freq-core"",""pdf-core"",""pdf-matched""]",2,6.560,1,,
w_55a89ec42223f73e,N5,いい,いい,いい,"좋음, 좋은",adjective,C,善い事をすればいい報いがある.,좋은 일을 하면 좋은 보답이 있다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,よい,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing"",""pdf-supplement""]",2,6.370,1,,
w_750cfe21b3229db6,N5,これ,これ,これ,이것,pronoun,C,これは私の本です。,이것은 제 책입니다.,,AshitaKanji 편집 예문,,,self,,,kaggle:robinpourtaud/jlpt-words-by-level;phrase-review-backfill,verified,0,"[""draft-ko-missing"",""phrase-review-backfill""]",2,6.310,1,,
w_c8cb9889616e2de7,N5,中,なか,なか,"안, 속",noun,A,イ：もうすぐ日が暮れるから、あまり奥まった森の中まで入ってはいけない。,가: 곧 해가 질 테니까 너무 후미진 숲 속까지 들어가면 안 돼.,,NAVER 일본어사전 · 국립국어원 한국어-일본어 학습사전,,,owner-confirmed-cleared,,,pdf:pass_n5,verified,0,"[""ko-reviewed"",""manual-curated"",""freq-core"",""pdf-core"",""pdf-matched""]",2,6.160,1,,
w_1da8dde639dcee40,N5,でも,でも,でも,"하지만, 그렇지만",conjunction,C,ロ：でも勝手に使わせるようにはしないでください。,나: 그렇지만 마음대로 쓰겐 하지 마세요.,,NAVER 일본어사전 · 국립국어원 한국어-일본어 학습사전,,,owner-confirmed-cleared,,,pdf:pass_n5,verified,0,"[""freq-core"",""pdf-core"",""pdf-new""]",2,6.150,1,,
w_12b597c82e6ac902,N5,私,わたし,わたし,"나, 저",pronoun,A,私はあの人の下で働いております.,나는 저 사람 밑에서 일하고 있습니다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""ko-reviewed"",""manual-curated"",""freq-core"",""pdf-supplement""]",2,6.120,1,,
w_0bbed65bbab68eb4,N5,一,いち,いち,"하나, 1",numeral,A,さっそく一書[一本]を購った,곧 그 책 한 권을 샀다.,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing"",""pdf-supplement""]",2,6.080,1,,
w_37ce577d9573c9b7,N5,方,かた,かた,"분, 방향, 방법",noun,A,話し方と同様に聞き方も大切だ.,말하기와 마찬가지로 듣기도 중요하다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing"",""pdf-supplement""]",2,6.070,1,,
w_db9e3cee735c2e2a,N5,何人,なんにん,なんにん,몇 명,noun,A,愛人が何人もいる,애인이 몇 명이나 있다,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,,,pdf:pass_n5,verified,0,"[""freq-core"",""pdf-core"",""pdf-new""]",2,6.010,1,,
