id,level,surface,reading_kana,furigana,meaning_ko,part_of_speech,card_type,example_jp,example_ko,example_jp_id,example_jp_author,example_ko_id,example_ko_author,example_license,alt_forms,disambig,source,qa_status,deprecated,tags,data_version,frequency,reading_chapter,deprecated_reason,superseded_by
w_b8e30b6ab1b08d47,N3,日中,にっちゅう,にっちゅう,주간;낮,noun,A,日中は暖かい,낮에는 따뜻하다,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,5.960,1,,
w_e19dc791338b72ca,N3,中国,ちゅうごく,ちゅうごく,"나라의 중앙부, 일본의 山陽·山陰 지방, 중국",noun,A,"昔,中国では纏足の風俗があった.",예전에 중국에서는 전족의 풍습이 있었다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,5.300,1,,
w_699769f779e42b20,N3,ネット,ネット,ネット,"네트, 그물, 헤어네트",noun,D,コルクコンタクトで打ちやすいストロークはヘアピン、レシーブのネットリターン、ハーフショットである。,"코르크 콘택트로 치기 쉬운 스트로크는 헤어핀, 리시브의 네트 리턴, 하프 샷이다.",,NAVER 일본어사전 · 플리토,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,5.230,1,,
w_c1e457a4cf73812b,N3,基本的,きほんてき,きほんてき,기본적,adjective,A,基本的には終わったことになる.,기본적으로는 끝난 셈이다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,5.120,2,,
w_06b5fba55a4e9231,N3,一部,いちぶ,いちぶ,"일부, 일부분, 한 부;한 질",noun,A,軍の一部が反乱を起こした.,군의 일부가 반란을 일으켰다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,5.100,2,,
w_912077e7d389ea18,N3,データ,データ,データ,"데이터, 자료, 추론의 기초가 되는 사실",noun,D,データを集める,데이터를 모으다.,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,5.070,2,,
w_1a9f2d1908baab4e,N3,政治家,せいじか,せいじか,"정치가, 정치적 수완이 있고 술수에 능한 사람",noun,A,彼の兄は政治家で弟は芸術家だ.,그의 형은 정치가이며 동생은 예술가다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,5.040,2,,
w_e0b4071a2a37d8ed,N3,選挙,せんきょ,せんきょ,선거,noun,A,"選挙[就職, 野外]運動をする.","선거[취직, 야외] 운동을 하다",,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,5.040,2,,
w_fdbc3df88542031b,N3,年間,ねんかん,ねんかん,"연간, 한 해 동안, 어떤 연대의 동안",noun,A,10年間コンマスとして活躍する,10년 동안 콘서트마스터로 활약하다,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,5.040,2,,
w_480bd88d6ef8a1da,N3,報告,ほうこく,ほうこく,"보고, 복명",noun,A,詳細な事はまだ報告がない,상세한 것은 아직 보고가 없다,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,5.030,3,,
