word_id,level,surface,reading_kana,meaning_ko,jp,ko,naver_source_name,naver_example_id,query,score,meaning_hits,target_match,review_flags,source_url
w_006a682a41241ada,N3,森,もり,숲,森の木々が芽を出し始めた,숲의 나무들이 싹을 틔우기 시작했다,민중서림 엣센스 일한사전,356b5dd0bcfb4faa8257b3216afdf30d,森 숲,117,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E6%A3%AE
w_0084c15661be04e0,N2,平凡だ,へいぼんだ,평범하다,練習してはいるが、記録は平凡だ,연습은 하고 있으나 기록은 평범하다,민중서림 엣센스 일한사전,0f24cbbda3f54142b443ec7c6c4d8720,平凡だ 평범하다,134,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E5%B9%B3%E5%87%A1%E3%81%A0
w_00b1716ef6ef3781,N3,運,うん,"운, 운수",しだいに運が向いてきた.,차츰 운이 트이기 시작했다,민중서림 엣센스 한일사전,27231c7a1c8543fc98e4dd5aa75dedb7,運 운 운수,122,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E9%81%8B
w_00b884bb498a4ecb,N1,すべ,すべ,방법,それ以外に説明できる術がないんです。,그 밖에 달리 설명할 방법이 없어요.,사전연구사,4f9d8650fafc4dd6988ee1f531516ec7,すべ 방법,174,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E3%81%99%E3%81%B9
w_00c48216c8344f97,N2,企業,きぎょう,기업,IPO企業の数が増加する,IPO 기업 수가 증가하다,민중서림 엣센스 일한사전,f3a166c3c1aa4216a0783e5bbb89b64f,企業 기업,129,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E4%BC%81%E6%A5%AD
w_011830febbff62c7,N2,床の間,とこのま,"도코노마, 벽감",大きなテレビが床の間に鎮座している,커다란 텔레비전이 床の間에 자리 잡고 있다,교학사 일한사전,1c5ed84865954b5e8d048f7aa4303c4e,床の間,115,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E5%BA%8A%E3%81%AE%E9%96%93
w_01187a1dd0d68172,N3,実力,じつりょく,실력,二人の実力は互角だ.,두 사람의 실력은 호각이다,민중서림 엣센스 한일사전,f776cafe76ac4693bead05d23d89914f,実力 실력,134,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E5%AE%9F%E5%8A%9B
w_013579db55e6a84f,N2,観測,かんそく,관측,満月がひときわ大きく見えるエクストリームスーパームーンが各地で観測された,보름달이 유달리 크게 보이는 익스트림 슈퍼문이 각지에서 관측되었다,민중서림 엣센스 일한사전,fb9aa06a2523472cac896e94dc0d0895,観測 관측,129,1,surface,네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E8%A6%B3%E6%B8%AC
w_013e176627a827e0,N4,凄い,すごい,"훌륭한, 대단한, 큰",外は凄い雨だ,밖은 비가 억수같이 내린다,민중서림 엣센스 일한사전,7fb8be603cef440aa6b255b6548c3b15,凄い,117,0,surface,한국어 뜻 직접 일치어 없음; 네이버 예문 ID 중복; 일본어 예문 문장 중복,https://ja.dict.naver.com/#/search?query=%E5%87%84%E3%81%84
w_01658ab2cabde4e9,N5,もっと,もっと,"좀 더, 더",被害はもっと広がる模様だ.,피해는 좀 더 늘어날 모양이다,민중서림 엣센스 한일사전,9540cc8d6392452c96446dc7e7675d95,もっと 좀 더 더,122,0,surface,한국어 뜻 직접 일치어 없음,https://ja.dict.naver.com/#/search?query=%E3%82%82%E3%81%A3%E3%81%A8
