id,level,surface,reading_kana,meaning_ko,issues,catalog_status,catalog_level,catalog_pron,catalog_entry,search_status,search_level,search_entry,jmdict_issue,jmdict_detail,example_source,example_contain_basis,example_jp,spelling_note,naver_means,source_url
w_a9ecc3b353d6e247,N5,いる,いる,있다,level-ambiguous,manual_review,N2,煎る·炒る·熬る,いる,manual_review,N5,居る,,,self,surface,教室には学生が三人いる。,,볶다;지지다,https://ja.dict.naver.com/#/search?query=%E3%81%84%E3%82%8B
w_1da8dde639dcee40,N5,でも,でも,"하지만, 그렇지만",level-ambiguous,manual_review,N2,,デモ,match,N5,でも,,,naver,surface,ロ：でも勝手に使わせるようにはしないでください。,,데모;‘デモンストレーション’의 준말,https://ja.dict.naver.com/#/search?query=%E3%81%A7%E3%82%82
w_37ce577d9573c9b7,N5,方,かた,"분, 방향, 방법",level-ambiguous,manual_review,N2,方·片,%E3%81%8B%E3%81%9F,manual_review,N3,方,,,naver,surface,話し方と同様に聞き方も大切だ.,,결말;처리,https://ja.dict.naver.com/#/search?query=%E6%96%B9
w_901e9473e86b14cd,N5,また,また,또,level-ambiguous,manual_review,N1,,また,manual_review,N5,又·復·亦,,,naver,surface,また悪をした,,아귀;갈래;가랑이;샅;갈림길,https://ja.dict.naver.com/#/search?query=%E3%81%BE%E3%81%9F
w_98e68681f275b2c8,N5,ここ,ここ,여기,level-ambiguous,manual_review,N1,個個·箇箇,ここ,manual_review,N5,此処·此所,,,self,surface,ここに名前を書いてください。,,개개;낱낱;하나하나,https://ja.dict.naver.com/#/search?query=%E3%81%93%E3%81%93
w_44bc31f10823f315,N5,結婚する,けっこんする,결혼하다,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,derived-form,base=結婚 suffix=する,naver,surface,良縁を得て結婚する.,,,https://ja.dict.naver.com/#/search?query=%E7%B5%90%E5%A9%9A%E3%81%99%E3%82%8B
w_d631fd55fbc45d65,N5,大変,たいへん,"힘듦, 큰일임",level-ambiguous,manual_review,N4,大変,たいへん,manual_review,N5,大変,,,naver,surface,その節は大変お世話になりました,,대변;큰일;대사건,https://ja.dict.naver.com/#/search?query=%E5%A4%A7%E5%A4%89
w_59c56506badd0309,N5,質問する,しつもんする,질문하다,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,derived-form,base=質問 suffix=する,naver,surface,何でもないように質問する,,,https://ja.dict.naver.com/#/search?query=%E8%B3%AA%E5%95%8F%E3%81%99%E3%82%8B
w_5b4445d187ac74c5,N5,二十歳,はたち,"20세, 스무 살",example-headword-missing,match,N5,二十·二十歳,はたち,,,,,,naver,missing,来年は二十になる,,20세;스무 살;20;스물,https://ja.dict.naver.com/#/search?query=%E4%BA%8C%E5%8D%81%E6%AD%B3
w_6313f9284b018464,N5,一台,いちだい,한 대(자전거),naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,naver,surface,学生である私は車どころか、自転車一台を買うお金もない。,,,https://ja.dict.naver.com/#/search?query=%E4%B8%80%E5%8F%B0
w_1cd9d956ac65ad3e,N5,色々,いろいろ,다양한; 여러 가지임,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,naver,surface,色々な文化が混ざる,,,https://ja.dict.naver.com/#/search?query=%E8%89%B2%E3%80%85
w_5877b188cb058939,N5,千円,せんえん,1000엔,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,naver,surface,千円に値する,,,https://ja.dict.naver.com/#/search?query=%E5%8D%83%E5%86%86
w_d5e8dc868e6a7029,N5,分かる,わかる,"알다, 이해하다",naver-level-missing,naver_level_missing,,,,search_no_jlpt,,分(か)る,,,naver,surface,苦心の程が分かる,,,https://ja.dict.naver.com/#/search?query=%E5%88%86%E3%81%8B%E3%82%8B
