id,app_level,naver_level,status,surface,reading_kana,naver_entry,naver_reading,naver_frequency_add,naver_entry_id,match_basis,candidate_levels,source_url,checked_at,note
w_2e4639b9ed99174c,N1,,manual_review,お使い,おつかい,,,,,,N1,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E4%BD%BF%E3%81%84,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_a6b82112020af822,N1,,manual_review,ふんだん,ふんだん,,,,,,N1,https://ja.dict.naver.com/#/search?query=%E3%81%B5%E3%82%93%E3%81%A0%E3%82%93,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_79707d3c49949938,N1,,manual_review,まして,まして,,,,,,N1,https://ja.dict.naver.com/#/search?query=%E3%81%BE%E3%81%97%E3%81%A6,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_e3fe85feaff71b45,N1,,manual_review,スト,スト,,,,,,N1,https://ja.dict.naver.com/#/search?query=%E3%82%B9%E3%83%88,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_416fe10aba191688,N1,,manual_review,パチンコ,パチンコ,,,,,,N1,https://ja.dict.naver.com/#/search?query=%E3%83%91%E3%83%81%E3%83%B3%E3%82%B3,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_4e62d76c327ed8cd,N1,N1,manual_review,ファン,ファン,ファン,ファン,JLPT 1,ae0dab52ef79475a98487ba815512954,surface+reading,N1|N2,https://ja.dict.naver.com/#/search?query=%E3%83%95%E3%82%A1%E3%83%B3,2026-08-19T00:31:52+0900,multiple equally strong NAVER levels
w_df40eb9087b51ff0,N1,,manual_review,世論,よろん,,,,,,N1,https://ja.dict.naver.com/#/search?query=%E4%B8%96%E8%AB%96,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_5b8ddfb46d714f92,N1,,manual_review,依存,いぞん,,,,,,N1,https://ja.dict.naver.com/#/search?query=%E4%BE%9D%E5%AD%98,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_b90ef8a20b902fd6,N1,,manual_review,免れる,まぬかれる,,,,,,N1,https://ja.dict.naver.com/#/search?query=%E5%85%8D%E3%82%8C%E3%82%8B,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_05c1883b474f2434,N1,,manual_review,共和,きょうわ,,,,,,N1,https://ja.dict.naver.com/#/search?query=%E5%85%B1%E5%92%8C,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_7e5efe5cd8b22071,N1,,manual_review,共存,きょうぞん,,,,,,N1,https://ja.dict.naver.com/#/search?query=%E5%85%B1%E5%AD%98,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_cb2bca15a098de65,N1,,manual_review,即座に,そくざに,,,,,,N1,https://ja.dict.naver.com/#/search?query=%E5%8D%B3%E5%BA%A7%E3%81%AB,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_0e25c0ea9143aa5a,N1,,manual_review,取り分け,とりわけ,,,,,,N1,https://ja.dict.naver.com/#/search?query=%E5%8F%96%E3%82%8A%E5%88%86%E3%81%91,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_3fdb6246f1e9c47f,N1,N2,manual_review,只,ただ,只·唯,ただ,JLPT 2,487fb5bfa0f44169a155016f16cb80e0,surface+reading,N2|N3,https://ja.dict.naver.com/#/search?query=%E5%8F%AA,2026-08-19T00:31:52+0900,multiple equally strong NAVER levels
w_742cd942953ffea7,N1,,manual_review,叶える,かなえる,,,,,,N1,https://ja.dict.naver.com/#/search?query=%E5%8F%B6%E3%81%88%E3%82%8B,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_2c3f3b5d1f0e15fa,N1,,manual_review,巧み,たくみ,,,,,,N1,https://ja.dict.naver.com/#/search?query=%E5%B7%A7%E3%81%BF,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_f4e7b697d7baf427,N1,,manual_review,従業員,じゅうぎょういん,,,,,,N1,https://ja.dict.naver.com/#/search?query=%E5%BE%93%E6%A5%AD%E5%93%A1,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_8dec04ac32a62cd8,N1,,manual_review,株式,かぶしき,,,,,,N1,https://ja.dict.naver.com/#/search?query=%E6%A0%AA%E5%BC%8F,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_ec9e607fc8bac604,N1,,manual_review,欲深い,よくふかい,,,,,,N1,https://ja.dict.naver.com/#/search?query=%E6%AC%B2%E6%B7%B1%E3%81%84,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_ad278162220ff848,N1,,manual_review,漠然と,ばくぜんと,,,,,,N1,https://ja.dict.naver.com/#/search?query=%E6%BC%A0%E7%84%B6%E3%81%A8,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_8cc2ed324ee1f9d0,N1,,manual_review,術,すべ,,,,,,N1,https://ja.dict.naver.com/#/search?query=%E8%A1%93,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_ea9d5a7abc96492d,N1,,manual_review,非,ひ,,,,,,N3,https://ja.dict.naver.com/#/search?query=%E9%9D%9E,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_e19bb44678c7262b,N1,,manual_review,非常に,ひじょうに,,,,,,N4,https://ja.dict.naver.com/#/search?query=%E9%9D%9E%E5%B8%B8%E3%81%AB,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_7544daa0e9ec639c,N1,,manual_review,骨董品,こっとうひん,,,,,,N1,https://ja.dict.naver.com/#/search?query=%E9%AA%A8%E8%91%A3%E5%93%81,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_86fa3ff38f45c9f6,N2,,manual_review,お先に,おさきに,,,,,,N3,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E5%85%88%E3%81%AB,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_47d515589fa58fd2,N2,,manual_review,お待たせしました,おまたせしました,,,,,,N4,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E5%BE%85%E3%81%9F%E3%81%9B%E3%81%97%E3%81%BE%E3%81%97%E3%81%9F,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_5774ff04f7f580b5,N2,,manual_review,お願いします,おねがいします,,,,,,N5,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E9%A1%98%E3%81%84%E3%81%97%E3%81%BE%E3%81%99,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_d3d2b10204204a0d,N2,,manual_review,ずらり,ずらり,,,,,,N2,https://ja.dict.naver.com/#/search?query=%E3%81%9A%E3%82%89%E3%82%8A,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_5c91c9030e80a0f2,N2,,manual_review,そのため,そのため,,,,,,N2,https://ja.dict.naver.com/#/search?query=%E3%81%9D%E3%81%AE%E3%81%9F%E3%82%81,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_b40f9c063be59826,N2,,manual_review,レインコート,レインコート,,,,,,N3,https://ja.dict.naver.com/#/search?query=%E3%83%AC%E3%82%A4%E3%83%B3%E3%82%B3%E3%83%BC%E3%83%88,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_4ef84fcf2ec9cfeb,N2,,manual_review,一昨年,いっさくねん,,,,,,N5,https://ja.dict.naver.com/#/search?query=%E4%B8%80%E6%98%A8%E5%B9%B4,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_33687b5b97477220,N2,,manual_review,一昨日,いっさくじつ,,,,,,N5,https://ja.dict.naver.com/#/search?query=%E4%B8%80%E6%98%A8%E6%97%A5,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_e42a22cf4c7a4df7,N2,,manual_review,仕方がない,しかたがない,,,,,,N2,https://ja.dict.naver.com/#/search?query=%E4%BB%95%E6%96%B9%E3%81%8C%E3%81%AA%E3%81%84,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_393a2f780ea3a234,N2,,manual_review,先々月,せんせんげつ,,,,,,N4,https://ja.dict.naver.com/#/search?query=%E5%85%88%E3%80%85%E6%9C%88,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_efac32fc7e566446,N2,,manual_review,先々週,せんせんしゅう,,,,,,N4,https://ja.dict.naver.com/#/search?query=%E5%85%88%E3%80%85%E9%80%B1,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_9462c592fc28b4a7,N2,,manual_review,女の人,おんなのひと,,,,,,N5,https://ja.dict.naver.com/#/search?query=%E5%A5%B3%E3%81%AE%E4%BA%BA,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_d401990e8b1b1c19,N2,,manual_review,定休日,ていきゅうび,,,,,,N2,https://ja.dict.naver.com/#/search?query=%E5%AE%9A%E4%BC%91%E6%97%A5,2026-08-19T00:31:52+0900,"JLPT-tagged search results exist, but none matched both form and reading"
