id,app_level,naver_level,status,surface,reading_kana,naver_entry,naver_reading,naver_frequency_add,naver_entry_id,match_basis,candidate_levels,source_url,checked_at,note
w_d6fcc4d9c768c61a,N1,,manual_review,ありのまま,ありのまま,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%82%E3%82%8A%E3%81%AE%E3%81%BE%E3%81%BE,2026-09-01T23:33:29+0900,"part of speech not confirmed: app=adjective NAVER=명사,부사"
w_329523c22c66774b,N1,,manual_review,いびき,いびき,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%84%E3%81%B3%E3%81%8D,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_1e3f18b11c856182,N1,,manual_review,いやらしい,いやらしい,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%84%E3%82%84%E3%82%89%E3%81%97%E3%81%84,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_a172145e6a7a76d8,N1,,manual_review,うたた寝,うたたね,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%86%E3%81%9F%E3%81%9F%E5%AF%9D,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_1be5ccd3605af1b6,N1,,manual_review,うんざり,うんざり,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%86%E3%82%93%E3%81%96%E3%82%8A,2026-09-01T23:33:29+0900,part of speech not confirmed: app=adverb NAVER=동사
w_62ca309fa490e070,N1,,manual_review,おいて,おいて,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E3%81%84%E3%81%A6,2026-09-01T23:33:29+0900,part of speech not confirmed: app=expression NAVER=기타
w_df60e1135524e494,N1,,manual_review,おだてる,おだてる,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E3%81%A0%E3%81%A6%E3%82%8B,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_2c61bc52b20456a8,N1,,manual_review,お世辞,おせじ,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E4%B8%96%E8%BE%9E,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_2e4639b9ed99174c,N1,,manual_review,お使い,おつかい,,,,,,N1,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E4%BD%BF%E3%81%84,2026-09-01T23:33:29+0900,"JLPT-tagged search results exist, but none matched both form and reading"
w_2b26724b2b319010,N1,,manual_review,お供,おとも,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E4%BE%9B,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_f469985af279b23f,N1,,manual_review,お手上げ,おてあげ,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E6%89%8B%E4%B8%8A%E3%81%92,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_6a8b9fc35622cafd,N1,,manual_review,かつて,かつて,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%8B%E3%81%A4%E3%81%A6,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_303e927f2052e96a,N1,,manual_review,がっちり,がっちり,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%8C%E3%81%A3%E3%81%A1%E3%82%8A,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_a691689e7604b569,N1,,manual_review,きっちり,きっちり,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%8D%E3%81%A3%E3%81%A1%E3%82%8A,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_92d9523033611e3a,N1,,manual_review,くっきり,くっきり,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%8F%E3%81%A3%E3%81%8D%E3%82%8A,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_94819b8faa3d17a8,N1,,manual_review,くよくよ,くよくよ,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%8F%E3%82%88%E3%81%8F%E3%82%88,2026-09-01T23:33:29+0900,part of speech not confirmed: app=verb NAVER=부사
w_dadb6a6af0c8c1e7,N1,,manual_review,げっそり,げっそり,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%92%E3%81%A3%E3%81%9D%E3%82%8A,2026-09-01T23:33:29+0900,part of speech not confirmed: app=verb NAVER=부사
w_d8a0ad165c123102,N1,,manual_review,ことごとく,ことごとく,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%93%E3%81%A8%E3%81%94%E3%81%A8%E3%81%8F,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_b9c641f6b95aab47,N1,,manual_review,さっと,さっと,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%95%E3%81%A3%E3%81%A8,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_e8b4e8eb9ffea033,N1,,manual_review,しかしながら,しかしながら,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%97%E3%81%8B%E3%81%97%E3%81%AA%E3%81%8C%E3%82%89,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_904cfeab89219814,N1,,manual_review,しなやか,しなやか,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%97%E3%81%AA%E3%82%84%E3%81%8B,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_b6d1d9cff527ba72,N1,,manual_review,しょっちゅう,しょっちゅう,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%97%E3%82%87%E3%81%A3%E3%81%A1%E3%82%85%E3%81%86,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_07fdd31838199aaa,N1,,manual_review,ずばり,ずばり,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%9A%E3%81%B0%E3%82%8A,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_7b77229d7578e77d,N1,,manual_review,そっぽ,そっぽ,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%9D%E3%81%A3%E3%81%BD,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_27a3e7cf4b5f70f5,N1,,manual_review,だったら,だったら,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%A0%E3%81%A3%E3%81%9F%E3%82%89,2026-09-01T23:33:29+0900,part of speech not confirmed: app=conjunction NAVER=기타
w_dea6f8d689f5815b,N1,,manual_review,ちょくちょく,ちょくちょく,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%A1%E3%82%87%E3%81%8F%E3%81%A1%E3%82%87%E3%81%8F,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_7096f81dd3d5b54f,N1,,manual_review,つくづく,つくづく,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%A4%E3%81%8F%E3%81%A5%E3%81%8F,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_e87b81cd80809eea,N1,,manual_review,でかい,でかい,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%A7%E3%81%8B%E3%81%84,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_d7cc90918debafeb,N1,,manual_review,とかく,とかく,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%A8%E3%81%8B%E3%81%8F,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
w_451bf26dd3bcf2e0,N1,,manual_review,とぼける,とぼける,,,,,surface+reading,N1,https://ja.dict.naver.com/#/search?query=%E3%81%A8%E3%81%BC%E3%81%91%E3%82%8B,2026-09-01T23:33:29+0900,Korean meaning not confidently aligned
