level,reading_kana,decision,keep_id,keep_surface,drop_id,drop_surface,reason
N5,おじさん,merge,w_9f4bac962871acc8,おじさん,w_a430acefffcd0bfe,小父さん,같은 낱말의 표기 변형. 小父 는 표외훈으로 현대 표기에서 거의 쓰이지 않는다.
N5,おじさん,merge,w_01f119facf6e9d97,伯父さん,w_69c992c9db76a823,叔父さん,친척 삼촌 한 장으로 통합. 나이 구분은 disambig 로 남긴다.
N5,おじさん,edit,w_9f4bac962871acc8,おじさん,,,"뜻에서 ""삼촌"" 을 빼고 남남 아저씨로 한정해 伯父さん 과 겹치지 않게 한다."
N5,おじさん,keep,,,,,"おじさん(남남 아저씨) 과 伯父さん(친척 삼촌) 은 다른 낱말이라 두 장을 남긴다."
N5,いる,keep,,,,,いる(있다) 와 要る(필요하다) 는 서로 다른 낱말이다.
N4,うかがう,merge,w_671b868a471a9e6f,伺う,w_8055df2a8ee6ed9e,うかがう,같은 겸양 동사. 伺う 가 정식 표기다.
N4,くれる,keep,,,,,くれる(주다) 와 暮れる(저물다) 는 서로 다른 낱말이다.
N4,さす,merge,w_40998838c1d8464a,差す,w_232fd4c69bca3059,さす,"같은 동사. 남기는 카드 뜻에 ""(우산을) 쓰다"" 를 더한다."
N3,およそ,merge,w_cd94ea8ce1292469,およそ,w_5eba7c1114cfa1cd,凡そ,같은 부사. 凡そ 는 표외훈으로 보통 가나로 적는다.
N3,もうしわけない,merge,w_272e0931b59a9581,申し訳ない,w_7da89b0ae3f818ac,もうしわけない,같은 표현. 申し訳ない 가 일반 표기다.
N2,おおげさ,merge,w_5dbb6ffd4db86074,大げさ,w_6bd4411a881b3eb1,おおげさ,같은 낱말. 大げさ 가 일반 표기다.
N2,せい,keep,,,,,せい(탓) · 性 · 正 은 서로 다른 낱말이다.
N1,いやらしい,merge,w_b46a8559c80c637b,嫌らしい,w_1e3f18b11c856182,いやらしい,같은 형용사. 嫌 은 상용한자라 한자 표기를 남긴다.
N1,こだわる,merge,w_e3bd581a07151df2,こだわる,w_e1224f159d5c953d,拘る,같은 동사. 拘 는 표외훈으로 보통 가나로 적는다.
