id,level,surface,reading_kana,furigana,meaning_en,meaning_ko,part_of_speech,card_type,example_jp,example_ko,example_jp_id,example_jp_author,example_ko_id,example_ko_author,example_license,alt_forms,disambig,source,qa_status,deprecated,tags,data_version,qa_note
w_82875e45276d1dab,N5,質問,しつもん,しつもん,"question, inquiry","질문, 문의",noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""ko-reviewed"",""curated-replacement""]",1,Replaced low-value interjection ああ with non-duplicate N5 vocabulary
w_fb0af263d0cf8d1e,N5,会う,あう,あう,"to meet, to see",만나다,verb,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_cfa340103d366834,N5,青,あお,あお,blue,"파랑, 푸른색",noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,1,"[""draft-ko-missing"", ""curation-removed""]",1,Korean meaning draft required | 학습 중복 제외: い형용사(青い)가 한자·뜻 커버
w_323bbf9fb6ca0752,N5,青い,あおい,あおい,blue,"파랗다, 푸르다",adjective,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_24e7718dd25bcccb,N5,赤,あか,あか,red,"빨강, 붉은색",noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,1,"[""draft-ko-missing"", ""curation-removed""]",1,Korean meaning draft required | 학습 중복 제외: い형용사(赤い)가 한자·뜻 커버
w_deb26b8df714b0cb,N5,赤い,あかい,あかい,red,"빨갛다, 붉다",adjective,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_64d7f2701ad55caf,N5,明るい,あかるい,あかるい,bright (in reference to personality or weather); cheerful,"밝다, 명랑하다",adjective,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_92cdd1203bd7bf3f,N5,秋,あき,あき,fall (season),가을,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_797e841aee5ee7c0,N5,開く,あく,あく,"to open, to become open","열리다, 열다",verb,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_5785856236145c11,N5,開ける,あける,あける,to open (v.t.),열다,verb,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_0f9bdf2017f271ff,N5,上げる,あげる,あげる,"to raise, to lift","올리다, 들어 올리다",verb,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_3a519ce249e48d40,N5,朝,あさ,あさ,morning,아침,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_17036d0d07dbde4f,N5,朝御飯,あさごはん,あさごはん,breakfast,아침식사,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_72e7af00c727acea,N5,明後日,あさって,あさって,day after tomorrow,모레,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_ea3d8a4e6ed4bc82,N5,足,あし,あし,foot; leg,"발, 다리",noun,A,,,,,,,,脚,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_a6b4b27691fedbcb,N5,明日,あした,あした,tomorrow,내일,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_203b5947e6026f67,N5,あそこ,あそこ,あそこ,"there, over there, that place","저기, 저곳",pronoun,C,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_6e65e97439a8ca6b,N5,遊ぶ,あそぶ,あそぶ,to play; to spend time pleasantly; to hang out,놀다,verb,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_cc7c486ee55f4e80,N5,暖かい,あたたかい,あたたかい,warm,따뜻하다,adjective,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_8c7c6614e2b0593f,N5,頭,あたま,あたま,head,머리,noun,A,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_4d8d34ddefce90aa,N5,新しい,あたらしい,あたらしい,new,새롭다,adjective,B,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
w_ffdf97143b69bbdf,N5,あちら,あちら,あちら,this way (polite),저쪽,pronoun,C,,,,,,,,,,kaggle:robinpourtaud/jlpt-words-by-level,verified,0,"[""draft-ko-missing""]",1,Korean meaning draft required
