literal,highest_severity,checks,details,meanings_ko,meanings_en,onyomi,kunyomi,radical,radical_name_ko,radical_number,stroke_count,qa_status,linked_word_count,linked_word_examples
旗,error,missing_meanings_ko|manual_review_required,empty Korean meanings,[],"[""flag"",""banner"",""standard""]","[""キ""]","[""はた""]",方,모 방,70,14,auto,1,国旗/こっき:국기
票,error,missing_meanings_ko|manual_review_required,empty Korean meanings,[],"[""ballot"",""label"",""ticket"",""sign""]","[""ヒョウ""]",[],示,보일 시,113,11,auto,1,投票/とうひょう:투표
一,review,manual_review_required,,"[""하나""]","[""one"",""one radical (no.1)""]","[""イチ"",""イツ""]","[""ひと-"",""ひと.つ""]",一,한 일,1,1,auto,65,"一/いち:하나, 1 || 一番/いちばん:첫 번째, 가장 || 一台/いちだい:한 대(자전거) || 一時/いちじ:한때, 일시적으로 || 一昨日/おととい:그저께 || 一昨年/おととし:재작년 || 一度/いちど:한 번, 하나 시간, 때 || 一緒/いっしょ:함께"
丁,review,manual_review_required,,"[""거리"",""짝수"",""단위""]","[""street"",""ward"",""town"",""counter for guns, tools, leaves or cakes of something"",""even number"",""4th calendar sign""]","[""チョウ"",""テイ"",""チン"",""トウ"",""チ""]","[""ひのと""]",一,한 일,1,2,auto,3,"丁寧/ていねい:공손, 공손한, 주의 깊은 || 丁度/ちょうど:정각, 정확히 || 包丁/ほうちょう:식칼"
七,review,manual_review_required,,"[""일곱""]","[""seven""]","[""シチ""]","[""なな"",""なな.つ"",""なの""]",一,한 일,1,2,auto,2,七時/しちじ:7시 || 七月/しちがつ:7월
万,review,manual_review_required,,"[""만"",""매우 많음""]","[""ten thousand"",""10,000""]","[""マン"",""バン""]","[""よろず""]",一,한 일,1,3,auto,2,万歳/ばんざい:만세 || 万人/ばんにん:만인
丈,review,manual_review_required,,"[""길이"",""높이""]","[""length"",""ten shaku"",""measure"",""Mr."",""Ms."",""height"",""stature"",""all (one has)"",""only"",""that's all"",""merely""]","[""ジョウ""]","[""たけ"",""だけ""]",一,한 일,1,3,auto,4,"大丈夫/だいじょうぶ:괜찮음 || 丈夫/じょうぶ:튼튼함 || 丈/たけ:길이, 높이 || 頑丈/がんじょう:튼튼함, 견고함"
三,review,manual_review_required,,"[""셋""]","[""three""]","[""サン"",""ゾウ""]","[""み"",""み.つ"",""みっ.つ""]",一,한 일,1,3,auto,6,"三回/さんかい:3회, 세 번 || 三冊/さんさつ:세 권(책) || 三角/さんかく:삼각형, 삼각 || 三日月/みかづき:초승달 || 再三/さいさん:다시 다시, 반복해서 || 三味線/しゃみせん:샤미센(일본 현악기)"
上,review,manual_review_required,,"[""위""]","[""above"",""up""]","[""ジョウ"",""ショウ"",""シャン""]","[""うえ"",""-うえ"",""うわ-"",""かみ"",""あ.げる"",""-あ.げる"",""あ.がる"",""-あ.がる"",""あ.がり"",""-あ.がり"",""のぼ.る"",""のぼ.り"",""のぼ.せる"",""のぼ.す"",""たてまつ.る""]",一,한 일,1,3,auto,52,"上/うえ:위 || 上手/じょうず:잘함, 능숙함; 능숙함, 잘함 || 上がる/あがる:오르다, 올라가다 || 上げる/あげる:주다 || 上着/うわぎ:겉옷 || 以上/いじょう:이상; 이상으로 끝 || 屋上/おくじょう:옥상 || 申し上げる/もうしあげる:말씀드리다('言う'의 겸양)"
下,review,manual_review_required,,"[""아래"",""밑""]","[""below"",""down"",""descend"",""give"",""low"",""inferior""]","[""カ"",""ゲ""]","[""した"",""しも"",""もと"",""さ.げる"",""さ.がる"",""くだ.る"",""くだ.り"",""くだ.す"",""-くだ.す"",""くだ.さる"",""お.ろす"",""お.りる""]",一,한 일,1,3,auto,42,"下/した:아래, 밑 || 靴下/くつした:양말 || 下さい/ください:주세요 || 以下/いか:이하 || 下着/したぎ:속옷 || 下がる/さがる:내려가다, 떨어뜨리다, 떨어지다 || 下げる/さげる:(위치,값등을)내리다 || 下宿/げしゅく:하숙"
不,review,manual_review_required,,"[""아니다"",""부정"",""나쁨""]","[""negative"",""non-"",""bad"",""ugly"",""clumsy""]","[""フ"",""ブ""]",[],一,한 일,1,4,auto,34,"不便/ふべん:불편함 || 不足/ふそく:부족 || 不可能/ふかのう:불가능 || 不満/ふまん:불만 || 不合格/ふごうかく:불합격 || 不断/ふだん:항상;평상시;평소 || 不安/ふあん:불안 || 不思議/ふしぎ:이상하다,불가사의하다"
