literal,meanings_ko,meanings_en,onyomi,kunyomi,radical,radical_name_ko,radical_number,stroke_count,source,source_url,license,qa_status,data_version,qa_note
哀,"[""슬프다"",""가엾다""]","[""pathetic"",""grief"",""sorrow"",""pathos"",""pity"",""sympathize""]","[""アイ""]","[""あわ.れ"",""あわ.れむ"",""かな.しい""]",口,입 구,30,9,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,verified,2,Human-reviewed 2026-08-19: KANJIDIC meanings and linked release vocabulary cross-checked.
愛,"[""사랑""]","[""love"",""affection"",""favourite""]","[""アイ""]","[""いと.しい"",""かな.しい"",""め.でる"",""お.しむ"",""まな""]",心,마음 심,61,13,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
悪,"[""악""]","[""bad"",""vice"",""rascal"",""false"",""evil"",""wrong""]","[""アク"",""オ""]","[""わる.い"",""わる-"",""あ.し"",""にく.い"",""-にく.い"",""ああ"",""いずくに"",""いずくんぞ"",""にく.む""]",心,마음 심,61,11,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
握,"[""(손에꽉)쥐다"",""움켜쥐다""]","[""grip"",""hold"",""mould sushi"",""bribe""]","[""アク""]","[""にぎ.る""]",手,손 수,64,12,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
圧,"[""압력"",""누르다"",""압도하다""]","[""pressure"",""push"",""overwhelm"",""oppress"",""dominate""]","[""アツ"",""エン"",""オウ""]","[""お.す"",""へ.す"",""おさ.える"",""お.さえる""]",土,흙 토,32,5,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
斡,"[""주선하다"",""관리하다"",""돌다""]","[""go around"",""rule"",""administer""]","[""アツ"",""カン"",""ワツ""]","[""めぐ.る"",""めぐ.らす""]",斗,말 두,68,14,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
扱,"[""취급하다""]","[""handle"",""entertain"",""thresh"",""strip""]","[""ソウ"",""キュウ""]","[""あつか.い"",""あつか.う"",""あつか.る"",""こ.く""]",手,손 수,64,6,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
宛,"[""주소"",""수신처"",""마치""]","[""address"",""just like"",""fortunately""]","[""エン""]","[""あ.てる"",""-あて"",""-づつ"",""あたか.も""]",宀,갓머리 면,40,8,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
飴,"[""사탕""]","[""rice jelly"",""candy""]","[""イ"",""シ""]","[""あめ"",""やしな.う""]",食,밥 식,184,13,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,2,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
安,"[""편안하다"",""안정되다"",""싸다""]","[""relax"",""cheap"",""low"",""quiet"",""rested"",""contented"",""peaceful""]","[""アン""]","[""やす.い"",""やす.まる"",""やす"",""やす.らか""]",宀,갓머리 면,40,6,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,verified,10,Human-reviewed 2026-08-22: KANJIDIC English + JLPT usage cross-check; semantic-review draft confirmed.
暗,"[""어둡다""]","[""darkness"",""disappear"",""shade"",""informal"",""grow dark"",""be blinded""]","[""アン""]","[""くら.い"",""くら.む"",""くれ.る""]",日,날 일,72,13,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
案,"[""안"",""방안""]","[""plan"",""suggestion"",""draft"",""ponder"",""fear"",""proposition"",""idea"",""expectation"",""worry"",""table"",""bench""]","[""アン""]","[""つくえ""]",木,나무 목,75,10,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
闇,"[""어둠"",""암거래""]","[""get dark"",""gloom"",""disorder""]","[""アン"",""オン""]","[""やみ"",""くら.い""]",門,문 문,169,17,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
以,"[""써서"",""이유"",""비교""]","[""by means of"",""because"",""in view of"",""compared with""]","[""イ""]","[""もっ.て""]",人,사람 인,9,5,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
位,"[""지위"",""등급"",""정도""]","[""rank"",""grade"",""throne"",""crown"",""about"",""some""]","[""イ""]","[""くらい"",""ぐらい""]",人,사람 인,9,7,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
依,"[""의지하다"",""따르다""]","[""reliant"",""depend on"",""consequently"",""therefore"",""due to""]","[""イ"",""エ""]","[""よ.る""]",人,사람 인,9,8,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
偉,"[""훌륭하다"",""위대하다""]","[""admirable"",""greatness"",""remarkable"",""conceited"",""famous"",""excellent""]","[""イ""]","[""えら.い""]",人,사람 인,9,12,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
