word_id,jp,ko,source,source_url,license,permission_status,attribution,captured_at,qa_status,sort_order,naver_example_id,naver_source_cid,naver_source_name,query,qa_note
w_4f1fad818c8c337e,デジ・カメは，フィルムがいらないので現像の必要がない,디지털카메라는 필름이 필요없으므로 현상할 필요가 없다.,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E7%8F%BE%E5%83%8F,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 외래어사전,1780156582113,auto,0,666a7328978445ce93d2ed27684bfc72,8800047F,민중서림 엣센스 외래어사전,現像,auto-selected score=102
w_8a2ad47b70efabde,この原則を受け入れる用意がある.,이 원칙을 받아들일 용의가 있다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E5%8E%9F%E5%89%87,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 한일사전,1780156582310,auto,0,b06cc548674340d9a817b59a5b269c85,881982a8,민중서림 엣센스 한일사전,原則,auto-selected score=102
w_3207e74b17f451af,土地を検分する; 見地する.,토지를 검분하다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E8%A6%8B%E5%9C%B0,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 한일사전,1780156582404,auto,0,8285f1c015234708923889c934773ff3,881982a8,민중서림 엣센스 한일사전,見地,auto-selected score=102
w_b6d2da01ed4eaeb2,現地からの来電で遭難を知った.,현지로부터의 입전으로 조난을 알았다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E7%8F%BE%E5%9C%B0,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 한일사전,1780156582423,auto,0,428c1d08aac546a6b7d2ca768242bede,881982a8,민중서림 엣센스 한일사전,現地,auto-selected score=102
w_f0f4ba316c41c57e,人数を六人と限定した,인원수를 여섯 명으로 한정했다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E9%99%90%E5%AE%9A,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 일한사전,1780156582828,auto,0,6f141967b1f149a8800f3fe321aff996,081341B9,민중서림 엣센스 일한사전,限定,auto-selected score=97
w_8c9ecbc9d5866784,信州そばは蕎麦の原点のような気がします。,신슈소바는 메밀의 원조라고도 할 수 있습니다.,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E5%8E%9F%E7%82%B9,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 연세대학교 한국어학당 국가별 대표음식,1780156583061,auto,0,163341ca1a9e40ea98f3b0b199bc0fea,8017959b,연세대학교 한국어학당 국가별 대표음식,原点,auto-selected score=102
w_525059b3eff20441,原典に出る。,원전에 나오다.,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E5%8E%9F%E5%85%B8,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 국립국어원 한국어-일본어 학습사전,1780156582722,auto,0,a8dc3c639bad487d874dd5bff22722de,8819cr4o,국립국어원 한국어-일본어 학습사전,原典,auto-selected score=102
w_ea88beca6b88fb30,原爆ドームの周辺では，この日，ダイ・インが行われる,원폭 돔의 주변에서는 이날((8월 6일)) 땅에 눕는 시위가 행해진다.,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E5%8E%9F%E7%88%86,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 외래어사전,1780156583018,auto,0,860422c26a26451cb6d6421a5cdf4ee8,8800047F,민중서림 엣센스 외래어사전,原爆,auto-selected score=102
w_1c65b1b55cb06b90,訳文は原文の趣をよく伝えている,번역문은 원문의 느낌을[분위기를] 잘 전하고 있다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E5%8E%9F%E6%96%87,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 일한사전,1780156583359,auto,0,a3de2800c1414733a96944a0174df30e,081341B9,민중서림 엣센스 일한사전,原文,auto-selected score=97
w_925eb97ba2a36e0c,厳密に言えばそれは間違っています.,엄밀히 말하면 그건 틀렸습니다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E5%8E%B3%E5%AF%86,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 한일사전,1780156583360,auto,0,4d9fdb708d454474a8a79a373490d7cd,881982a8,민중서림 엣센스 한일사전,厳密,auto-selected score=102
